,question,most_common_response,correct_response,was_correct,percent_most_common_response,num_digits,completion_1,completion_2,completion_3,completion_4,completion_5,completion_6,completion_7,completion_8,completion_9,completion_10,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
16,What is 26 * 12?,312.0,312,True,100.0,2,312,312.,The answer is 312.,312,The answer is 312.,312,312,312,312,312,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0
17,What is 398 * 540?,920.0,214920,False,90.0,3,"214,920","214,920","The answer is 214,920.","The answer is 214,920.","The result of 398 multiplied by 540 is 214,920.","The product of 398 and 540 is 214,920.","The answer is 214,920.","214,920","The answer is 214,920.","The product of 398 and 540 is 215,520.",920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,920.0,520.0
18,What is 8813 * 5347?,11.0,47123111,False,50.0,4,"47,197,011","The product of 8813 and 5347 is 47,128,011.","47,139,711","46,999,611","The product of 8813 and 5347 is 47,176,011.","47,177,011","47,151,611","The product of 8813 and 5347 is 47,114,011.","The result of 8813 multiplied by 5347 is 47,103,411.",46931811,11.0,11.0,711.0,611.0,11.0,11.0,611.0,11.0,411.0,46931811.0
19,What is 71511 * 14816?,976.0,1059506976,False,30.0,5,"The product of 71511 and 14816 is 1,059,626,176.","The answer is 1,061,074,176.","The product of 71511 and 14816 is 1,060,690,976.","The answer is 1,059,435,376.","The product of 71511 and 14816 is 1,060,473,776.","The multiplication of 71511 and 14816 is: 1,059,849,376","The product of 71511 and 14816 is 1,059,634,976.","The product of 71511 and 14816 is 1,060,279,776.","1,060,679,376","The answer is 1,061,130,976.",176.0,176.0,976.0,376.0,776.0,376.0,976.0,776.0,376.0,976.0
20,What is 5 * 6?,30.0,30,True,100.0,1,30,30.,5 * 6 = 30,The answer is 30.,5 * 6 = 30.,5 * 6 is 30.,5 * 6 = 30.,5 * 6 = 30.,30,5 * 6 = 30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
21,What is 76 * 71?,396.0,5396,False,70.0,2,"5,396",5416,"5,396",5412.,"5,396","5,396","5,396","5,396","5,396",5412,396.0,5416.0,396.0,5412.0,396.0,396.0,396.0,396.0,396.0,5412.0
22,What is 311 * 940?,940.0,292340,False,80.0,3,"292,940","292,940.","292,940","The product of 311 and 940 is 292,940.","The answer is 292,940.","292,940","292,940",The answer is 292540.,"The answer is 292,940.",The answer is 292540.,940.0,940.0,940.0,940.0,940.0,940.0,940.0,292540.0,940.0,292540.0
23,What is 9635 * 6165?,275.0,59399775,False,40.0,4,"The answer is 59,361,975.","The product of 9635 and 6165 is 59,412,975.","The answer is 59,342,275.","The product of 9635 and 6165 is 59,370,275.","The product of 9635 and 6165 is 59,394,975.","59,400,275","594,937,275","There are a couple of ways to approach this multiplication problem, but one possible method is the following:

","59,347,775","59,401,775",975.0,975.0,275.0,275.0,975.0,275.0,275.0,0.0,775.0,775.0
24,What is 11644 * 62197?,468.0,724221868,False,20.0,5,724275268,"The result of 11644 multiplied by 62197 is:

725,330,468",The product of 11644 and 62197 is 724173068.,"725,991,668","725,113,068","725,273,468","725,677,268","725,476,268",724989068,"725,073,668",724275268.0,468.0,724173068.0,668.0,68.0,468.0,268.0,268.0,724989068.0,668.0
25,What is 9 * 7?,63.0,63,True,100.0,1,63,63.,9 * 7 is equal to 63.,63,9 * 7 = 63,63.,The answer is 63.,63,63,The answer is 63.,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
26,What is 97 * 78?,566.0,7566,False,70.0,2,7586,"7,566","7,566","7,566","7,566",7566,The answer is 7554.,"The answer is 7,566.","7,566.","7,566",7586.0,566.0,566.0,566.0,566.0,7566.0,7554.0,566.0,566.0,566.0
27,What is 753 * 915?,195.0,688995,False,50.0,3,"687,195","688,395","687,195",687795,688395,"688,695","687,195","687,795","687,195","687,195",195.0,395.0,195.0,687795.0,688395.0,695.0,195.0,795.0,195.0,195.0
28,What is 8964 * 9529?,356.0,85417956,False,40.0,4,"85,422,156","85,416,356","85,403,356","85,496,556","854,184,156","85,348,556","85,424,956","85,428,156","85,420,356","85,493,356",156.0,356.0,356.0,556.0,156.0,556.0,956.0,156.0,356.0,356.0
29,What is 97617 * 64984?,288.0,6343543128,False,20.0,5,6353580768,"The answer is 6,342,414,928.","The answer is 6,327,832,288.",The product of 97617 and 64984 is 6334284288.,6335514088,The product of 97617 and 64984 is 6343567488.,"The answer is 6,325,275,288.",The product of 97617 and 64984 is 6343026288.,"6,341,172,888",The product of 97617 and 64984 is 6344549448.,6353580768.0,928.0,288.0,6334284288.0,6335514088.0,6343567488.0,288.0,6343026288.0,888.0,6344549448.0
30,What is 6 * 9?,54.0,54,True,90.0,1,"As an AI language model, I must inform you that the answer is 54.",54.,"As an AI language model, I must inform you that the answer is 54.",54,54,54.,"As an AI language model, I must inform you that according to the standard decimal system, 6",54.,54.,"As an AI language model, I must inform you that the answer is 54.",54.0,54.0,54.0,54.0,54.0,54.0,6.0,54.0,54.0,54.0
31,What is 14 * 92?,1288.0,1288,True,60.0,2,1288,"1,288","1,288",1288,The answer is 1288.,The answer is 1288.,"The answer is 1,288.",1288,"1,288",1288,1288.0,288.0,288.0,1288.0,1288.0,1288.0,288.0,1288.0,288.0,1288.0
32,What is 285 * 843?,240255.0,240255,True,90.0,3,240255,240255,240255,240255,The product of 285 and 843 is 240255.,240255,240255,"240,255",240255,240255,240255.0,240255.0,240255.0,240255.0,240255.0,240255.0,240255.0,255.0,240255.0,240255.0
33,What is 2353 * 8977?,681.0,21122881,False,30.0,4,"21,100,381","21,121,481","21,074,281",21072281,"21,095,081","21,102,681","21,111,681","The answer is 21,093,681.","21,106,281","21,078,881",381.0,481.0,281.0,21072281.0,81.0,681.0,681.0,681.0,281.0,881.0
34,What is 96255 * 44326?,830.0,4266599130,False,30.0,5,"The product of 96255 and 44326 is:

4,263,243,230","42,634,230",The answer is 4267584230.,"4,258,146,830","42,607,9830",4270430730,"42,622,830",The answer is 4264262530.,"The product of 96255 and 44326 is 4,268,136,830.",The result is 4261291030.,230.0,230.0,4267584230.0,830.0,9830.0,4270430730.0,830.0,4264262530.0,830.0,4261291030.0
35,What is 3 * 6?,18.0,18,True,100.0,1,3 * 6 = 18.,18,3 * 6 = 18.,18,3 * 6 = 18.,3 * 6 = 18.,18.,18,3 * 6 is equal to 18.,3 * 6 is 18.,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
36,What is 53 * 80?,240.0,4240,False,90.0,2,"4,240","4,240","4,240","4,240.","4,240.","4,240.",4240,"4,240","4,240","4,240",240.0,240.0,240.0,240.0,240.0,240.0,4240.0,240.0,240.0,240.0
37,What is 500 * 175?,500.0,87500,False,90.0,3,87500,"87,500","87,500","87,500","The answer is 87,500.","87,500","The answer is 87,500.","87,500","The answer is 87,500.","87,500",87500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
38,What is 8483 * 7351?,833.0,62358533,False,30.0,4,"62,431,833","62,428,883","62,452,883","The product of 8483 and 7351 is 62,365,133.","The answer is 62,378,383.",62327133,"The answer to 8483 * 7351 is 62,402,333.","62,450,833","62,363,833","62,396,883",833.0,883.0,883.0,133.0,383.0,62327133.0,333.0,833.0,833.0,883.0
39,What is 85126 * 54054?,404.0,4601400804,False,20.0,5,"The answer is 46,031,8304.","The product of 85126 and 54054 is 4,603,862,404.",The product of 85126 and 54054 is 4600338904.,4601179504,The answer is 4604944904.,The answer is 4609861304.,"The product of 85126 and 54054 is 4,599,330,204.",The product of 85126 and 54054 is 4603057804.,"The result of 85126 * 54054 is 4,599,007,404.","The product of 85126 and 54054 is 4,600,133,604.",8304.0,404.0,4600338904.0,4601179504.0,4604944904.0,4609861304.0,204.0,4603057804.0,404.0,604.0
40,What is 1 * 4?,4.0,4,True,100.0,1,1 * 4 = 4.,1 * 4 is equal to 4.,1 * 4 = 4.,1 * 4 = 4,1 * 4 equals 4.,1 * 4 = 4,1 * 4 = 4.,1 * 4 equals 4.,1 * 4 = 4.,The result of 1 * 4 is 4.,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41,What is 85 * 21?,785.0,1785,False,70.0,2,"1,785","1,785",85 * 21 = 1785,The product of 85 and 21 is 1785.,"1,785","1,785","1,785.","1,785",85 * 21 = 1785,"1,785",785.0,785.0,1785.0,1785.0,785.0,785.0,785.0,785.0,1785.0,785.0
42,What is 951 * 743?,707493.0,706593,False,30.0,3,"The answer is 707,293.","708,393",The answer is 707093.,"The Answer is 706,593","706,993",The answer is 707293.,The product of 951 and 743 is 707493.,The product of 951 and 743 is 707493.,"706,243",707493,293.0,393.0,707093.0,593.0,993.0,707293.0,707493.0,707493.0,243.0,707493.0
43,What is 6955 * 1210?,550.0,8415550,False,30.0,4,"The product of 6955 and 1210 is 8,410,550.",The answer is 8403550.,The answer is 8403050.,"The product of 6955 and 1210 is 8,405,550.",The answer is 8409550.,"The product of 6955 and 1210 is 8,407,050.",8372550,"The product of 6955 and 1210 is 8,403,550.",The answer is 8402950.,The answer is 8409550.,550.0,8403550.0,8403050.0,550.0,8409550.0,50.0,8372550.0,550.0,8402950.0,8409550.0
44,What is 56126 * 40032?,432.0,2246836032,False,10.0,5,"2,248,982,432",2249716352,"2,248,204,032",2249178752,2251453952,"2,248,509,952","2,247,494,272",2249261952,"2,249,395,584","2,247,035,072",432.0,2249716352.0,32.0,2249178752.0,2251453952.0,952.0,272.0,2249261952.0,584.0,72.0
45,What is 7 * 9?,63.0,63,True,100.0,1,63,63.,63,The answer is 63.,63.,63.,63.,63,63,7 * 9 is equal to 63.,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
46,What is 74 * 17?,258.0,1258,False,100.0,2,"1,258","1,258","1,258.","1,258","1,258","1,258","1,258.","1,258","The answer is 1,258.","1,258",258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0
47,What is 754 * 394?,297076.0,297076,True,40.0,3,297076,"297,276",297076,"The result of 754 multiplied by 394 is 297,076.",297076,297276,The result of 754 multiplied by 394 is 297676.,297076,"297,076",297276,297076.0,276.0,297076.0,76.0,297076.0,297276.0,297676.0,297076.0,76.0,297276.0
48,What is 9106 * 4823?,838.0,43918238,False,20.0,4,"44,003,138","44,004,838","44,020,938","The answer is 43,935,738.","The answer is 43,966,938.","The product of 9106 and 4823 is 43,888,038.","44,010,738","The product of 9106 and 4823 is 43,909,338.","44,036,638","44,017,838",138.0,838.0,938.0,738.0,938.0,38.0,738.0,338.0,638.0,838.0
49,What is 81325 * 73414?,150.0,5970393550,False,20.0,5,5972895950,The result of 81325 * 73414 is 5964239350.,The product of 81325 and 73414 is 5971395350.,"The answer is 597,361,350.","599,049,150",The product of 81325 and 73414 is 5969419850.,"597,002,150",5970792350,5972154050,The product of 81325 and 73414 is 5973181650.,5972895950.0,5964239350.0,5971395350.0,350.0,150.0,5969419850.0,150.0,5970792350.0,5972154050.0,5973181650.0
